"parentdunsnumber","vendorname"
"041152224","OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED"
"140451688","OATRIDGE SECURITY GROUP, INC."
"961894511","OBSIDIAN ANALYSIS, INC."
"034366380","OBVERSE INC."
"830341645","OBXTEK INC."
"129300799","OCEAN ASSOCIATES, INCORPORATED"
"956687115","ODYSSEY MARKETING GROUP, INC."
"690536248","OLYMPUS SCIENTIFIC SOLUTIONS AMERICAS INC"
"962621624","OMNA INTERNATIONAL LLC"
"012548983","ONERAIN INCORPORATED"
"078860752","ONESIMUS DEFENSE LLC"
"248503187","OPEN TEXT INC."
"124021077","OPTIMAL SOLUTIONS GROUP, LLC"
"831164558","ORBIS OPERATIONS, LLC"
"131940934","ORGANIZATION DEVELOPMENT SYSTEMS INC"
"015260870","ORGANIZATIONAL STRATEGIES INC"
"125467055","ORION MANAGEMENT LIMITED LIABILITY COMPANY"
"001344142","OTIS ELEVATOR COMPANY"
"609691832","OUTREACH PROCESS PARTNERS, LLC"
"001338979","OVERWATCH SYSTEMS, LTD."
"781069703","P C MECHANICAL, INC"
"187330741","PACIFIC WESTERN TECHNOLOGIES,"
"968071493","PAE JUSTICE SUPPORT"
"617301374","PALEOWEST LLC"
"623292224","PANAMERICAN CONSULTANTS INCORPORATED"
"017433348","PANUM TELECOM LLC"
"618296420","PAPE' MATERIAL HANDLING, INC."
"103104043","PARK UNIVERSITY ENTERPRISES, INC"
"050986967","PARKER SYSTEMS INC"
"009043600","PARKER TIDE CORP."
"173454851","PARS ENVIRONMENTAL INC."
"030866545","PARSONS GOVERNMENT SERVICES INC."
"877038133","PARTEK, INC"
"057136918","PARTNERSHIP FOR PUBLIC SERVICE, INC."
"962364530","PATHFINDER CONSULTANTS, LLC"
"004635376","PATRIOT ELECTRONIC SECURITY, INC."
"603110755","PAYDARFAR INDUSTRIES, INC."
"064761687","PCG ENTERPRISES INCORPORATED"
"181087842","PCMG, INC."
"134726061","PEAK SCIENCE COMMUNICATIONS LLC"
"195956636","PEN-LINK, LTD."
"090957374","PENINSULA MEDIATION CENTER, INC."
"098736267","PENN DIESEL SERVICE CO."
"623331717","PERCEPTIVE SOFTWARE LLC"
"122549512","PERFECTION GROUP, INC."
"603450222","PERFORMANCE DIESEL INC."
"073384625","PERFORMANCE TRAINING RESOURCES, LLC"
"001053610","PERKINELMER HEALTH SCIENCES, INC"
"037335296","PERSONNEL DECISIONS RESEARCH INSTITUTES INCORPORATED"
"161906193","PERSONNEL MANAGEMENT, U S OFFICE OF"
"605967277","PG ENVIRONMENTAL, LLC"
"090643271","PHASE ONE CONSULTING GROUP, INC."
"178038910","PHIGENICS, LLC"
"404553448","PHILIPS HEALTHCARE INFORMATICS, INC."
"870327225","PHILLIPS CORPORATION"
"013604421","PINCHOT INSTITUTE FOR CONSERVA"
"824860837","PINYON ENVIRONMENTAL ENGINEERI"
"858616048","PIONEER TECHNICAL SERVICES, INC."
"001161793","PITNEY BOWES INC."
"196085997","PLANNING, INC."
"828738810","PLESSAS EXPERTS NETWORK, INC."
"829502413","PMO PARTNERSHIP JV, LLC"
"792043411","POINT ONE USA, LLC"
"926506783","POINTWISE INC"
"606471688","POTOMAC-HUDSON ENGINEERING, INC."
"105895010","POTOMAC ELECTRIC POWER COMPANY"
"943362251","POTOMAC INSTITUTE POLICY STUDI"
"079978237","POTOMAC SECURITY, LLLP"
"809019180","POTOMACWAVE CONSULTING, INC."
"154694298","PRAIRIE QUEST, INC."
"142540058","PREMIER MANAGEMENT CORPORATION"
"202131454","PRESAGIS USA INC."
"178299905","PRESS GANEY ASSOCIATES INC"
"175311393","PREVAILANCE, INC."
"001863794","PRICEWATERHOUSECOOPERS LLP"
"690541503","PRIZIM INC"
"014454222","PROCON CONSULTING, LLC"
"004146176","PROFESSIONAL ENVIRONMENTAL ENGINEERS, INC."
"964025845","PROFESSIONAL INFORMATION SYSTEMS INC"
"146380576","PROJECT SERVICES GROUP, LLC"
"127038698","PROJECT SUPPORT SERVICES, INC."
"622383052","PROSPECTIVE GROUP, LLC"
"312698034","PROTEC E. KFR."
"342777080","PROTEC GMBH"
"602072381","PROVISTA SOFTWARE INTERNATIONAL, INC."
"175749431","PTC INC."
"062655535","PUCKETT MACHINERY COMPANY"
"489840363","QIAGEN INC."
"221356285","QINETIQ NORTH AMERICA, INC."
"825610108","QUALITY MANAGEMENT INTERNATION"
"138823203","QUALITY POSITIONING SERVICES, INC"
"780730255","QUANTECH, INC"
"053236449","QUANTUM SPATIAL, INC."
"180552200","QUATERNARY RESOURCE INVESTIGATIONS, L.L.C."
"353955008","QUINCY AIR PERFECTION INC."
"828223243","R & K ENTERPRISE SOLUTIONS, INC."
"044147440","R & R ENVIRONMENTAL INC"
"139241665","R CHRISTOPHER GOODWIN & ASSOCIATES INC"
"180547119","R G S ASSOCIATES INC"
"068236108","R. S. MEANS COMPANY LLC"
"006914071","RAND CORPORATION, THE"
"001339159","RAYTHEON APPLIED SIGNAL TECHNOLOGY, INC."
"943604913","RD3, INC."
"797735883","REAL-TIME INNOVATIONS, INC."
"092206403","REALIZATION TECHNOLOGIES, INC."
"113759836","REALTIME MONITORS INC"
"098239510","RECON ENVIRONMENTAL"
"141242896","RECRUITING FORCE, LLC"
"791330488","RED GATE GROUP, LIMITED, THE"
"949117030","RED J ENVIRONMENTAL CORPORATION"
"801957023","REDHAWK IT SOLUTIONS LLC"
"808149004","REDHORSE CORPORATION"
"124777058","REED INTEGRATION, INC."
"029790073","REGENCY CONSULTING, INC."
"948269196","REGIS AND ASSOCIATES PC"
"151886660","REGULATORY GROUP INC., THE"
"608999520","REI SYSTEMS, INC."
"297619090","RELIASOFT CORPORATION"
"150767572","REMSA INC"
"090123642","RENAISSANCE PLANNING GROUP, INC."
"800953994","RESEARCH PLANNING INC"
"004868105","RESEARCH TRIANGLE INSTITUTE"
"178040960","RESOURCE SYSTEMS GROUP, INC."
"620276951","RESULTS LEADERSHIP GROUP, LLC, THE"
"251100749","REUTERS AMERICA INC"
"824640812","RIGHTDIRECTION TECHNOLOGY SOLUTIONS, LLC"
"144709193","RIGHTNOW TECHNOLOGIES, INC."
"135910698","RIGHTSTAR, INC."
"786713599","RIGIL CORPORATION"
"828489554","RMA ASSOCIATES, LLC"
"078623438","ROBBINS GIOIA LIMITED LIABILITY COMPANY"
"148096100","ROBERT D. NIEHAUS, INC."
"043256403","ROBERT HALF INTERNATIONAL INC."
"961941531","ROCKWELL AUTOMATION, INC."
"962960589","ROCKWELL COLLINS SIMULATION & TRAINING SOLUTIONS LLC"
"805713109","ROGUE WAVE SOFTWARE, INC."
"174411496","ROLLINS FIELD SERVICE INC"
"617445374","ROMANYK CONSULTING CORPORATION"
"179350160","ROSENSHINE,NANCY R"
"830345422","ROSETTA STONE LTD."
"151414075","ROYAL ARC WELDING COMPANY"
"189162183","RPS CORPORATION"
"883065419","RUEHLIN ASSOCIATES"
"090002184","RURAL AND TRIBAL ENVIRONMENTAL SOLUTIONS"
"044867034","S BROOKS & ASSOCIATES INC"
"071167910","S C & A, INC."
"153547849","S.K.M. SYSTEMS ANALYSIS, INC."
"187035985","SAGEBRUSH CONSULTANTS LLC"
"158269451","SALMON GROUP, INC."
"291855013","SANBORN MAP COMPANY, INC., THE"
"127641632","SANDHILLS UTILITY SERVICES, LLC"
"029971780","SANS INSTITUTE, LLC, THE"
"040046724","SAS INSTITUTE INC."
"079253761","SAVA WORKFORCE SOLUTIONS, LLC"
"788059488","SAVAN GROUP LLC"
"143405087","SAVVEE CONSULTING INC."
"020345075","SAWDEY SOLUTION SERVICES, INC."
"480001684","SCHINDLER ELEVATOR CORPORATION"
"855445516","SCHLUMBERGER TECHNOLOGY CORPORATION"
"275136398","SCHNEIDER ELECTRIC IT USA, INC."
"300197993","SCHULER INCORPORATED"
"078745061","SCIENCE APPLICATIONS INTERNATIONAL CORPORATION"
"779951912","SCIENTIFIC CONSULTING GROUP, INC, THE"
"100351217","SCIMETRIKA, LLC"
"039885421","SCITOR CORPORATION"
"095569302","SCOTTTECH, LLC"
"005714132","SEA-COAST CONSULTING, LLC"
"032366945","SECURITY2000 LLC"
"052239530","SENSA SOLUTIONS, INC."
"298452707","SERCO SERVICES INC."
"962121286","SEV1TECH INC"
"078425777","SEVENTH SENSE CONSULTING, LLC"
"790905512","SHENANDOAH FLEET MAINTENANCE AND MANAGEMENT, LLC"
"806289596","SHEPRA, INC."
"611429481","SHI INTERNATIONAL CORP."
"073489176","SHIPTECH AMERICA LLC"
"316067164","SIEMENS GOVERNMENT TECHNOLOGIES, INC."
"171856222","SIGNET TECHNOLOGIES, INC."
"175955335","SILOSMASHERS, INC."
"035036813","SIRSI CORPORATION"
"954151853","SISTEMAS FAMILIA Y SOCIEDAD - CONSULTORES ASOCIADOS E.I.R.L."
"079288829","SIWA GROUP LLC, THE"
"963278551","SKEO SOLUTIONS , INC."
"370569455","SKILLSOFT PLC"
"210273256","SMITHS DETECTION, INC."
"091340943","SOCIAL AND SCIENTIFIC SYSTEMS INCORPORATED"
"941533911","SOCIAL IMPACT INC"
"166611132","SOCIAL SOLUTIONS INTERNATIONAL, INC."
"829676241","SOFT POWER SOLUTIONS, LLC"
"050383223","SOFTMART GOVERNMENT SERVICES INCORPORATED"
"319321147","SOFTWARE AG GOVERNMENT SOLUTIONS INC."
"938265865","SOFTWARE INFORMATION RESOURCE CORP."
"012049963","SOL SOLUTIONS, LLC"
"835979147","SOLV LLC"
"102917762","SONOMA TECHNOLOGY, INC."
"825137904","SOURCE ENVIRONMENTAL, INC."
"007936842","SOUTHWEST RESEARCH INSTITUTE I"
"002625721","SOUTHWORTH-MILTON, INC."
"833175917","SPATIAL FRONT INCORPORATED"
"156992745","SPECTRUM SYSTEMS, LLC"
"149203239","SPIDER STRATEGIES, INC."
"080011988","SRA INTERNATIONAL, INC."
"063053771","SRC, INC."
"009232752","SRI INTERNATIONAL"
"782252860","STANDARD CALIBRATIONS, INC."
"001152461","STANLEY CONVERGENT SECURITY SOLUTIONS, INC."
"246422307","STANTEC CONSULTING SERVICES INC."
"001307602","STARLIMS CORPORATION"
"147662068","STATACORP LP"
"148927247","STATISTICAL RESEARCH, INC."
"144817785","STELL ENVIRONMENTAL ENTERPRISES, INC."
"220418143","STERIS CORPORATION"
"938836541","STERLING COMPUTERS CORPORATION"
"616392671","STEWART & STEVENSON POWER PRODUCTS LLC"
"179570403","STG INTERNATIONAL, INC."
"780414652","STG, INC."
"079206420","STRATEGIC CYBER LLC"
"787947600","STRATEGIC OPERATIONAL SOLUTIONS INC."
"622811847","STRATEGICHEALTHSOLUTIONS, LLC"
"112459370","STRATEGY MANAGEMENT GROUP, INC."
"956873798","STRAUGHAN ENVIRONMENTAL, INC."
"967227583","STS SYSTEMS INTEGRATION"
"134631675","SUMMIT CONSULTING LLC"
"607564825","SUNDANCE CONSULTING, INC."
"167032239","SUNTIVA, LLC"
"962287137","SUPERIOR TECHNOLOGY SOLUTIONS, LLC"
"806696089","SUPRIYA AGGARWAL"
"119149730","SWCA INCORPORATED"
"316268655","SYBASE, INC."
"131331261","SYNERGY ENTERPRISES, INC."
"161499579","SYNOPSYS, INC."
"058005542","SYNTHESIS PROFESSIONAL SERVICES INC"
"079084458","SYSTEM ENGINEERING INTERNATIONAL, LLC"
"806026852","SYSTEM PLANNING CORPORATION"
"968838909","SYSTEMS RESEARCH AND APPLICATI"
"122343858","SYTEK AUTOMATION LLC"
"078517764","T-SYSTEM, INC."
"806136573","T S MARSHALL & ASSOCIATES, INC"
"192244742","T WHITE PARKER ASSOCIATES, INCORPORATED"
"125924915","T. A. CONSULTING, INC"
"079989538","TACG-ENL JV, LLC"
"623516031","TACG, LLC"
"624570073","TAGESON MARITIME CONSULTING"
"786643569","TAI PEDRO & ASSOCIATES, P.C."
"045812369","TALX CORPORATION"
"030000835","TANTARA ASSOCIATES CORPORATION"
"010224550","TASK SOURCE INC."
"072651979","TATC CONSULTING CORPORATION"
"008473170","TAURI GROUP, LLC, THE"
"041963950","TAYLOR FREEZER EQUIPMENT CORP"
"848758400","TDB COMMUNICATIONS, INC."
"606984573","TECHLAW, INC"
"131788130","TECHNICAL AND PROJECT ENGINEERING, LLC"
"782084123","TECHNICAL SOFTWARE SERVICES, INC."
"147004451","TECHNOLOGY AUTOMATION & MANAGE"
"074108176","TECOLOTE RESEARCH, INC"
"135788560","TECPLOT, INC."
"112358432","TELEDYNE INSTRUMENTS, INC."
"118538045","TELESOLV CONSULTING, LLC"
"024981993","TELLING YOUR STORY, LLC"
"119514193","TERACORE, INC"
"114921872","TERATHINK CORPORATION"
"003920922","TERRY & ASSOCIATES INC, J"
"045224250","TETRA TECH EM, INC."
"042915991","TEXAS A&M TRANSPORTATION INSTITUTE"
"133844881","TFC CONSULTING INC"
"042768267","THE BOSTON CONSULTING GROUP INC"
"840203368","THE IVY PLANNING GROUP LLC"
"112871561","THE LEWIN GROUP INC"
"131142747","THE MATHWORKS INC"
"085978810","THE MIHALIK GROUP"
"161579735","THE MIL CORPORATION"
"175285121","THE MITCHELL GROUP INC"
"007872690","THE MITRE CORPORATION"
"013778225","THE RAVENS GROUP, LLC"
"001408673","THERMO FISHER SCIENTIFIC (ASHEVILLE) LLC"
"619053411","THOMAS CASTRO GUTIERREZ CPA, LLC"
"024556128","THOMPSON & LITTLE, INC."
"160936175","THOMPSON MACHINERY COMMERCE CORPORATION"
"809887164","THUNDERCAT TECHNOLOGY, LLC"
"174104919","THURSBY SOFTWARE SYSTEMS, INC."
"340502442","THYSSENKRUPP ELEVATOR CORPORATION"
"961689325","TIC SECURITY, LLC"
"622692994","TIME SOLUTIONS, LLC"
"831140541","TLN WORLDWIDE ENTERPRISES, INC."
"825211824","TOEROEK ASSOCIATES, INC."
"005675921","TOFFLER ASSOCIATES, INC."
"217127290","TOGNUM AMERICA INC"
"877145391","TOTAL RESOURCE MANAGEMENT, INC."
"179498712","TRADE CENTER MANAGEMENT ASSOCIATES LLC"
"114391543","TRAINING RESOURCES GROUP INCORPORATED"
"774715924","TRANSFINITE SYSTEMS LTD"
"037700106","TRIAD TECHNOLOGY PARTNERS, LLC"
"827092011","TRIFECTA INDUSTRIES, LLC"
"797123010","TRILOGY SECURED SERVICES, L.L.C."
"094982386","TRIMBLE NAVIGATION LIMITED"
"014197144","TRIMECH SOLUTIONS, LLC"
"078404916","TRINE ENVIRONMENTAL INC."
"849332911","TRINITY ENGINEERING ASSOCIATES, INC."
"167251011","TRIUMPH ENTERPRISES, INCORPORATED"
"196349492","TRIUMVIRATE ENVIRONMENTAL, INC"
"096029298","TRIVANTIS CORPORATION"
"119514144","TROFHOLZ TECHNOLOGIES, INC."
"126658892","TRUSANT TECHNOLOGIES LLC"
"828615224","TS GOVERNMENT SOLUTIONS, LLC"
"154130918","TTI ENVIRONMENTAL, INC."
"141669437","TTL ASSOCIATES, INC."
"985594574","TYCO INTEGRATED SECURITY LLC"
"215581790","UBM LLC"
"078570513","UNICOM SYSTEMS INC."
"027382779","UNITED STATES NAVY MEMORIAL FOUNDATION"
"791142545","UNIVERSAL STRATEGY GROUP, INC."
"003256088","UNIVERSITY OF MARYLAND (2033) 1170755"
"142363428","UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL"
"042000273","UNIVERSITY OF TEXAS AT AUSTIN"
"041188822","UNIVERSITY OF WISCONSIN SYSTEM"
"072645393","UNIVERSITY RESEARCH CO., LLC"
"074803701","URBAN INSTITUTE"
"153561212","URS GROUP, INC."
"622746100","USFIN DEVELOPMENT, LLC"
"014974096","USMAX CORPORATION"
"154614254","VAIL TECHNOLOGIES, LLC"
"032042827","VALADOR INC"
"009661638","VALLEY POWER SYSTEMS, INC."
"181627048","VALUE RECOVERY HOLDING, LIMITED LIABILITY COMPANY"
"095874384","VANASSE HANGEN BRUSTLIN INC"
"072654999","VANTAGE HUMAN RESOURCE SERVICES INCORPORATED"
"023465219","VECTOR RESOURCES, INC."
"079563436","VENCORE SERVICES AND SOLUTIONS, INC."
"073299836","VERA INSTITUTE OF JUSTICE INC"
"118459325","VERDI CONSULTING, INC."
"066764747","VERSAR, INC."
"008898843","VERTEX AEROSPACE LLC"
"831299909","VETERANS MANAGEMENT SERVICES, INC."
"148757458","VISION CENTRIC INC."
"806785247","VISIONARY INTEGRATION PROFESSI"
"039279380","VITALSMARTS, LC."
"079435151","VOCUS INCORPORATED"
"079453470","VOUND COLORADO, LTD."
"078764098","VRG SERVICES LLC"
"049997380","VSE CORPORATION"
"968199450","VZ TECHNOLOGIES, L.L.C."
"007902331","W W WILLIAMS MIDWEST INC"
"040726978","WAGNER EQUIPMENT CO."
"249440777","WALSH INTEGRATED ENVIRONMENTAL"
"538184557","WARTSILA DEFENSE, INC."
"153776278","WASHINGTON GAS LIGHT COMPANY"
"011384050","WATCH HOUSE INTERNATIONAL, LLC"
"038554759","WEATHERMAN, DAVID W"
"131889805","WEBSTER GROUP, INC (THE)"
"049508120","WESTAT, INC."
"142549802","WESTERN AERODYNAMICS, INC"
"042524272","WESTERN PACIFIC CRANE & EQUIPMENT, LLC"
"118341234","WESTON SOLUTIONS, INC."
"007939358","WHEELER MACHINERY CO."
"052227953","WHITETAIL ENVIRONMENTAL, LLC"
"131873457","WHITNEY, BRADLEY & BROWN INC."
"868712969","WILLIAMS, ADLEY & COMPANY - DC, LLP"
"014089614","WINBOURNE AND COSTAS, INC."
"047897855","WIND RIVER SYSTEMS, INC."
"869208108","WINDWALKER CORPORATION"
"148062990","WINTERSMITH & ASSOCIATES, INC"
"149521846","WITTENBERG WEINER CONSULTING LLC"
"186918488","WOLFRAM RESEARCH INC."
"403310154","WOLTERS KLUWER FINANCIAL SERVICES, INC."
"131784451","WORLD WIDE TECHNOLOGY, INC."
"845642003","WRG FIRE TRAINING SIMULATION SYSTEMS, INC."
"202983805","WSP CANADA INC"
"829053896","X CELL MANAGEMENT INC."
"967917704","X CORP SOLUTIONS INC."
"360698687","XATOR CORPORATION"
"049591852","XEROX CORPORATION"
"608717450","XL ASSOCIATES, INC."
"052727208","XYENTERPRISE  INC."
"968848734","XYLEM DEWATERING SOLUTIONS, INC."
"687849844","YOOSIN ENTERPRISE CO.,LTD"
"006092860","YORK INTERNATIONAL CORPORATION"
"792535812","YOUNGSTER PERFORMANCE & TRANSMISSION"
"031777167","YOUR RECRUITING COMPANY, INC."
"809780567","ZANTECH IT SERVICES, INC."
"079183986","ZB TRAINING SOLUTIONS LLC"
"796490519","ZELOS, LLC"
"079335792","ZEMAX, LLC"
"129511023","ZIA ENGINEERING & ENVIRONMENTAL CONSULTANTS, L.L.C."
"037250326","ZIBIZ CORPORATION"
